## Fri Mar 17 08:47:43 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope 1142 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
SGL_RS14110	1148.1001180	3.54e-91	266.0	COG0662@1|root,COG0662@2|Bacteria,1G5UF@1117|Cyanobacteria,1H5H9@1142|Synechocystis	1142|Synechocystis	G	Mannose-6-phosphate isomerase	-	-	5.3.1.8	ko:K01809	ko00051,ko00520,ko01100,ko01110,ko01130,map00051,map00520,map01100,map01110,map01130	M00114	R01819	RC00376	ko00000,ko00001,ko00002,ko01000	-	-	-	MannoseP_isomer
SGL_RS14115	1148.1001181	3.95e-253	692.0	COG0451@1|root,COG0451@2|Bacteria,1G0Q4@1117|Cyanobacteria,1H4UD@1142|Synechocystis	1142|Synechocystis	GM	NAD(P)H-binding	-	-	-	-	-	-	-	-	-	-	-	-	Epimerase
SGL_RS14120	1148.1001182	1.17e-307	839.0	COG0460@1|root,COG0460@2|Bacteria,1G0WN@1117|Cyanobacteria,1H4QN@1142|Synechocystis	1142|Synechocystis	E	Homoserine dehydrogenase	-	-	1.1.1.3	ko:K00003	ko00260,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00260,map00270,map00300,map01100,map01110,map01120,map01130,map01230	M00017,M00018	R01773,R01775	RC00087	ko00000,ko00001,ko00002,ko01000	-	-	-	ACT,Homoserine_dh,NAD_binding_3
SGL_RS14125	1148.1001183	2.94e-184	511.0	COG2091@1|root,COG2091@2|Bacteria,1G5GA@1117|Cyanobacteria,1H5YJ@1142|Synechocystis	1142|Synechocystis	H	4'-phosphopantetheinyl transferase superfamily	-	GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006553,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008897,GO:0009058,GO:0009066,GO:0009067,GO:0009085,GO:0009987,GO:0016053,GO:0016740,GO:0016772,GO:0016780,GO:0019752,GO:0019878,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	-	ko:K06133	ko00770,map00770	-	R01625	RC00002	ko00000,ko00001,ko01000	-	-	-	ACPS
SGL_RS14130	1148.1001184	1.39e-70	213.0	2ADWC@1|root,313NC@2|Bacteria,1GIHM@1117|Cyanobacteria,1H6MU@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14135	1148.1001185	1.3e-241	663.0	COG0016@1|root,COG0016@2|Bacteria,1G05R@1117|Cyanobacteria,1H4Z8@1142|Synechocystis	1142|Synechocystis	J	tRNA synthetases class II core domain (F)	pheS	GO:0003674,GO:0003824,GO:0004812,GO:0004826,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006432,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.20	ko:K01889	ko00970,map00970	M00359,M00360	R03660	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Phe_tRNA-synt_N,tRNA-synt_2d
SGL_RS14140	1148.1001186	1.99e-132	376.0	29BIQ@1|root,2ZYH1@2|Bacteria,1G5Q7@1117|Cyanobacteria,1H6G4@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14155	1148.1001188	3.05e-299	820.0	COG0475@1|root,COG0475@2|Bacteria,1G03Z@1117|Cyanobacteria,1H4ZT@1142|Synechocystis	1142|Synechocystis	P	Sodium/hydrogen exchanger family	nhaS3	-	-	-	-	-	-	-	-	-	-	-	Na_H_Exchanger
SGL_RS14160	1148.1001189	1.17e-180	504.0	COG5343@1|root,COG5343@2|Bacteria,1G5KT@1117|Cyanobacteria,1H60X@1142|Synechocystis	1142|Synechocystis	S	Anti-sigma-K factor rskA	-	-	-	-	-	-	-	-	-	-	-	-	RskA
SGL_RS14165	1148.1001190	1.04e-122	350.0	COG1595@1|root,COG1595@2|Bacteria,1G34M@1117|Cyanobacteria,1H5MF@1142|Synechocystis	1142|Synechocystis	K	ECF sigma factor	-	-	-	ko:K03088	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r2,Sigma70_r4
SGL_RS14170	1148.1001191	2.27e-182	509.0	COG0785@1|root,COG0785@2|Bacteria,1G30R@1117|Cyanobacteria,1H69W@1142|Synechocystis	1142|Synechocystis	O	Cytochrome C biogenesis protein transmembrane region	-	-	-	ko:K06196	-	-	-	-	ko00000,ko02000	5.A.1.2	-	-	DsbD
SGL_RS14175	1148.1001192	4.41e-106	306.0	COG0526@1|root,COG0526@2|Bacteria,1G6UA@1117|Cyanobacteria,1H6BV@1142|Synechocystis	1142|Synechocystis	O	Thioredoxin	-	-	-	-	-	-	-	-	-	-	-	-	Thioredoxin
SGL_RS14180	1148.1001193	1.99e-192	533.0	COG1117@1|root,COG1117@2|Bacteria,1G0P6@1117|Cyanobacteria,1H68F@1142|Synechocystis	1142|Synechocystis	P	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system	-	-	3.6.3.27	ko:K02036	ko02010,map02010	M00222	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.7	-	-	ABC_tran
SGL_RS14185	1148.1001194	5.49e-196	543.0	COG1117@1|root,COG1117@2|Bacteria,1G0P6@1117|Cyanobacteria,1H54P@1142|Synechocystis	1142|Synechocystis	P	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system	-	-	3.6.3.27	ko:K02036	ko02010,map02010	M00222	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.7	-	-	ABC_tran
SGL_RS14190	1148.1001195	1.31e-187	523.0	COG0581@1|root,COG0581@2|Bacteria,1G1S1@1117|Cyanobacteria,1H4VJ@1142|Synechocystis	1142|Synechocystis	P	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02038	ko02010,map02010	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	BPD_transp_1
SGL_RS14195	1148.1001196	1.1e-210	584.0	COG0573@1|root,COG0573@2|Bacteria,1G0IU@1117|Cyanobacteria,1H58R@1142|Synechocystis	1142|Synechocystis	P	probably responsible for the translocation of the substrate across the membrane	-	-	-	ko:K02037	ko02010,map02010	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	BPD_transp_1
SGL_RS14200	1148.1001197	7.73e-258	709.0	COG0226@1|root,COG0226@2|Bacteria,1G0SW@1117|Cyanobacteria,1H4GA@1142|Synechocystis	1142|Synechocystis	P	PBP superfamily domain	-	-	-	ko:K02040	ko02010,ko02020,ko05152,map02010,map02020,map05152	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	PBP_like_2
SGL_RS14205	1148.1001198	2.01e-243	668.0	COG0226@1|root,COG0226@2|Bacteria,1FZZ0@1117|Cyanobacteria,1H6EX@1142|Synechocystis	1142|Synechocystis	P	PBP superfamily domain	sphX	GO:0003674,GO:0005488,GO:0006810,GO:0006811,GO:0006817,GO:0006820,GO:0008150,GO:0015698,GO:0042301,GO:0043167,GO:0043168,GO:0051179,GO:0051234	-	ko:K02040	ko02010,ko02020,ko05152,map02010,map02020,map05152	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	PBP_like_2
SGL_RS14210	1148.1001199	6.71e-227	631.0	COG1357@1|root,COG1357@2|Bacteria,1G45P@1117|Cyanobacteria,1H6J2@1142|Synechocystis	1142|Synechocystis	S	Pentapeptide repeats (9 copies)	-	-	-	-	-	-	-	-	-	-	-	-	Pentapeptide
SGL_RS14220	1148.1001613	6.4e-65	197.0	COG0199@1|root,COG0199@2|Bacteria,1G6JZ@1117|Cyanobacteria,1H5TG@1142|Synechocystis	1142|Synechocystis	J	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site	rpsN	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02954	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S14
SGL_RS14225	1148.1001614	1.32e-161	456.0	COG1842@1|root,COG1842@2|Bacteria,1G1GX@1117|Cyanobacteria,1H4WG@1142|Synechocystis	1142|Synechocystis	KT	PspA/IM30 family	-	-	-	ko:K03969	-	-	-	-	ko00000	-	-	-	PspA_IM30
SGL_RS14235	1148.1001615	1.85e-169	471.0	COG0491@1|root,COG0491@2|Bacteria,1G22Q@1117|Cyanobacteria,1H5IR@1142|Synechocystis	1142|Synechocystis	S	Metallo-beta-lactamase superfamily	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14240	1148.1001616	0.0	1838.0	COG0653@1|root,COG0653@2|Bacteria,1G1B4@1117|Cyanobacteria,1H59M@1142|Synechocystis	1142|Synechocystis	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane	secA	GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0006810,GO:0008104,GO:0008144,GO:0008150,GO:0008320,GO:0008565,GO:0015031,GO:0015399,GO:0015405,GO:0015440,GO:0015450,GO:0015462,GO:0015833,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022804,GO:0022857,GO:0022884,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033036,GO:0033220,GO:0035639,GO:0036094,GO:0042623,GO:0042626,GO:0042886,GO:0042887,GO:0043167,GO:0043168,GO:0043492,GO:0045184,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071806,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1904680	-	ko:K03070	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.10,3.A.5.2,3.A.5.4	-	-	SecA_DEAD,SecA_PP_bind,SecA_SW
SGL_RS14245	1148.1001617	2.5e-138	392.0	COG2119@1|root,COG2119@2|Bacteria,1G2DY@1117|Cyanobacteria,1H5EP@1142|Synechocystis	1142|Synechocystis	S	Uncharacterized protein family UPF0016	-	-	-	-	-	-	-	-	-	-	-	-	UPF0016
SGL_RS14250	1148.1001618	2.19e-96	280.0	2CRK8@1|root,32SP8@2|Bacteria,1G8H5@1117|Cyanobacteria,1H6NP@1142|Synechocystis	1142|Synechocystis	S	Domain of unknown function (DUF4253)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4253
SGL_RS14255	1148.1001619	7.09e-252	692.0	COG2255@1|root,COG2255@2|Bacteria,1G1CN@1117|Cyanobacteria,1H4MP@1142|Synechocystis	1142|Synechocystis	L	The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing	ruvB	-	3.6.4.12	ko:K03551	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	RuvB_C,RuvB_N
SGL_RS19980	1148.1001620	4.67e-239	669.0	COG0665@1|root,COG2022@1|root,COG0665@2|Bacteria,COG2022@2|Bacteria,1FZYU@1117|Cyanobacteria,1H4ZA@1142|Synechocystis	1142|Synechocystis	H	Thiazole biosynthesis protein ThiG	-	-	2.8.1.10	ko:K03149	ko00730,ko01100,map00730,map01100	-	R10247	RC03096,RC03097,RC03461	ko00000,ko00001,ko01000	-	-	-	DAO,ThiG
SGL_RS19985	1148.1001620	1.55e-192	550.0	COG0665@1|root,COG2022@1|root,COG0665@2|Bacteria,COG2022@2|Bacteria,1FZYU@1117|Cyanobacteria,1H4ZA@1142|Synechocystis	1142|Synechocystis	H	Thiazole biosynthesis protein ThiG	-	-	2.8.1.10	ko:K03149	ko00730,ko01100,map00730,map01100	-	R10247	RC03096,RC03097,RC03461	ko00000,ko00001,ko01000	-	-	-	DAO,ThiG
SGL_RS14265	1148.1001621	4e-103	301.0	COG1637@1|root,COG1637@2|Bacteria,1G52K@1117|Cyanobacteria,1H65I@1142|Synechocystis	1142|Synechocystis	L	Protein of unknown function (DUF3782)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3782
SGL_RS14270	1148.1001622	1.02e-233	642.0	COG0354@1|root,COG0354@2|Bacteria,1G0RW@1117|Cyanobacteria,1H5H7@1142|Synechocystis	1142|Synechocystis	S	Aminomethyltransferase folate-binding domain	-	-	-	ko:K06980	-	-	-	-	ko00000,ko03016	-	-	-	GCV_T,GCV_T_C
SGL_RS14275	1148.1001623	7.3e-105	302.0	2AY0A@1|root,31Q1V@2|Bacteria,1G5XA@1117|Cyanobacteria,1H5XB@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14280	1148.1001624	1.02e-191	531.0	COG0368@1|root,COG0368@2|Bacteria,1G0DC@1117|Cyanobacteria,1H5NH@1142|Synechocystis	1142|Synechocystis	H	Joins adenosylcobinamide-GDP and alpha-ribazole to generate adenosylcobalamin (Ado-cobalamin). Also synthesizes adenosylcobalamin 5'-phosphate from adenosylcobinamide-GDP and alpha-ribazole 5'-phosphate	cobS	-	2.7.8.26	ko:K02233	ko00860,ko01100,map00860,map01100	M00122	R05223,R11174	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	CobS
SGL_RS14285	1148.1001625	4.46e-182	507.0	COG3170@1|root,COG3170@2|Bacteria,1G5F0@1117|Cyanobacteria,1H5SU@1142|Synechocystis	1142|Synechocystis	NU	Tfp pilus assembly protein FimV	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14290	1148.1001626	3.01e-228	627.0	COG0752@1|root,COG0752@2|Bacteria,1G097@1117|Cyanobacteria,1H4G2@1142|Synechocystis	1142|Synechocystis	J	Glycyl-tRNA synthetase alpha subunit	glyQ	-	6.1.1.14	ko:K01878	ko00970,map00970	M00360	R03654	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	tRNA-synt_2e
SGL_RS14295	1148.1001627	8.35e-200	555.0	COG0668@1|root,COG0668@2|Bacteria,1G2IB@1117|Cyanobacteria,1H5QN@1142|Synechocystis	1142|Synechocystis	U	Mechanosensitive ion channel	-	GO:0003674,GO:0005215,GO:0005575,GO:0006810,GO:0006884,GO:0008150,GO:0008361,GO:0008381,GO:0009987,GO:0009992,GO:0015267,GO:0016020,GO:0016021,GO:0016043,GO:0019725,GO:0022803,GO:0022836,GO:0022857,GO:0030104,GO:0031224,GO:0032535,GO:0042592,GO:0044425,GO:0048878,GO:0051179,GO:0051234,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071840,GO:0090066	-	ko:K03442	-	-	-	-	ko00000,ko02000	1.A.23.2	-	-	MS_channel
SGL_RS14300	1148.1001628	7.16e-313	853.0	COG4251@1|root,COG4251@2|Bacteria,1GPXV@1117|Cyanobacteria,1H4FQ@1142|Synechocystis	1142|Synechocystis	T	His Kinase A (phosphoacceptor) domain	-	-	2.7.13.3	ko:K11520	ko02020,map02020	M00465	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HATPase_c,HisKA
SGL_RS14305	1148.1001629	3.93e-78	233.0	2CJ3S@1|root,32S96@2|Bacteria,1G7NX@1117|Cyanobacteria,1H5PM@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF3593)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3593
SGL_RS14310	1148.1001630	1.72e-73	219.0	2DMI8@1|root,32RQE@2|Bacteria,1G7QT@1117|Cyanobacteria,1H5VP@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF2499)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2499
SGL_RS14315	1148.1001631	0.0	937.0	COG2211@1|root,COG2211@2|Bacteria,1G0YG@1117|Cyanobacteria,1H4HH@1142|Synechocystis	1142|Synechocystis	U	BT1 family	-	GO:0003674,GO:0005215,GO:0005310,GO:0005342,GO:0006810,GO:0006811,GO:0006820,GO:0006835,GO:0006855,GO:0008150,GO:0008509,GO:0008514,GO:0008517,GO:0015075,GO:0015231,GO:0015238,GO:0015318,GO:0015350,GO:0015711,GO:0015849,GO:0015884,GO:0015885,GO:0015893,GO:0022857,GO:0034220,GO:0035461,GO:0042221,GO:0042493,GO:0042886,GO:0042887,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051180,GO:0051181,GO:0051234,GO:0051958,GO:0055085,GO:0071702,GO:0071705,GO:0072337,GO:0072349,GO:0090482,GO:0098656,GO:1903825,GO:1905039	-	-	-	-	-	-	-	-	-	-	BT1
SGL_RS14320	1148.1001632	0.0	966.0	COG1994@1|root,COG1994@2|Bacteria,1G03A@1117|Cyanobacteria,1H4Y2@1142|Synechocystis	1142|Synechocystis	S	PFAM Peptidase family M50	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14325	1148.1001633	0.0	911.0	COG0683@1|root,COG0683@2|Bacteria,1G116@1117|Cyanobacteria,1H5Z8@1142|Synechocystis	1142|Synechocystis	E	Periplasmic binding protein	-	-	-	ko:K01999	ko02010,ko02024,map02010,map02024	M00237	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	-	Peripla_BP_6
SGL_RS14330	1148.1001634	5.26e-260	712.0	COG0042@1|root,COG0042@2|Bacteria,1G0PN@1117|Cyanobacteria,1H4NW@1142|Synechocystis	1142|Synechocystis	J	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines	-	-	-	-	-	-	-	-	-	-	-	-	Dus
SGL_RS14335	1148.1001635	0.0	1233.0	COG1165@1|root,COG1165@2|Bacteria,1G1FW@1117|Cyanobacteria,1H53A@1142|Synechocystis	1142|Synechocystis	H	Catalyzes the thiamine diphosphate-dependent decarboxylation of 2-oxoglutarate and the subsequent addition of the resulting succinic semialdehyde-thiamine pyrophosphate anion to isochorismate to yield 2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate (SEPHCHC)	menD	-	2.2.1.9	ko:K02551	ko00130,ko01100,ko01110,map00130,map01100,map01110	M00116	R08165	RC02186	ko00000,ko00001,ko00002,ko01000	-	-	-	TPP_enzyme_C,TPP_enzyme_M_2,TPP_enzyme_N
SGL_RS14340	1148.1001636	0.0	1399.0	COG0631@1|root,COG0631@2|Bacteria,1G1ST@1117|Cyanobacteria,1H51T@1142|Synechocystis	1142|Synechocystis	T	Serine/threonine phosphatases, family 2C, catalytic domain	-	-	-	-	-	-	-	-	-	-	-	-	PP2C_2
SGL_RS14345	1148.1001637	6.68e-143	403.0	COG2304@1|root,COG2304@2|Bacteria,1G11R@1117|Cyanobacteria,1H6HC@1142|Synechocystis	1142|Synechocystis	S	von Willebrand factor (vWF) type A domain	-	-	-	-	-	-	-	-	-	-	-	-	VWA_2
SGL_RS14350	1148.1001638	0.0	959.0	COG2027@1|root,COG2027@2|Bacteria,1G1K9@1117|Cyanobacteria,1H5B1@1142|Synechocystis	1142|Synechocystis	M	D-Ala-D-Ala carboxypeptidase 3 (S13) family	-	-	3.4.16.4	ko:K07259	ko00550,map00550	-	-	-	ko00000,ko00001,ko01000,ko01002,ko01011	-	-	-	Peptidase_S13
SGL_RS14360	1148.1001639	2.25e-201	556.0	COG0388@1|root,COG0388@2|Bacteria,1G103@1117|Cyanobacteria,1H4PY@1142|Synechocystis	1142|Synechocystis	S	Carbon-nitrogen hydrolase	-	-	-	ko:K11206	-	-	-	-	ko00000,ko01000	-	-	-	CN_hydrolase
SGL_RS14365	1148.1001640	0.0	1108.0	COG0143@1|root,COG0143@2|Bacteria,1G1RR@1117|Cyanobacteria,1H5AD@1142|Synechocystis	1142|Synechocystis	J	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation	metG	GO:0003674,GO:0003824,GO:0004812,GO:0004825,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006431,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.10	ko:K01874	ko00450,ko00970,map00450,map00970	M00359,M00360	R03659,R04773	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Anticodon_1,tRNA-synt_1g
SGL_RS14370	1148.1001641	1.25e-140	397.0	COG1432@1|root,COG1432@2|Bacteria,1G01P@1117|Cyanobacteria,1H581@1142|Synechocystis	1142|Synechocystis	S	NYN domain	-	-	-	-	-	-	-	-	-	-	-	-	NYN
SGL_RS14375	1148.1001642	0.0	882.0	COG0232@1|root,COG0232@2|Bacteria,1G32E@1117|Cyanobacteria,1H4TN@1142|Synechocystis	1142|Synechocystis	F	Phosphohydrolase-associated domain	-	GO:0003674,GO:0003824,GO:0006139,GO:0006163,GO:0006195,GO:0006203,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008832,GO:0009056,GO:0009058,GO:0009117,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009151,GO:0009155,GO:0009166,GO:0009200,GO:0009204,GO:0009215,GO:0009217,GO:0009262,GO:0009264,GO:0009394,GO:0009987,GO:0016787,GO:0016788,GO:0016793,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0019692,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042578,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0046070,GO:0046386,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901575,GO:1901576	3.1.5.1	ko:K01129	ko00230,map00230	-	R01856	RC00017	ko00000,ko00001,ko01000	-	-	iJN678.dgt	HD,HD_assoc
SGL_RS14380	1148.1001643	1.92e-161	451.0	COG4330@1|root,COG4330@2|Bacteria,1G4Y2@1117|Cyanobacteria,1H5PJ@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF1361)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1361
SGL_RS14385	1148.1001644	1.06e-157	442.0	COG0745@1|root,COG0745@2|Bacteria,1FZXT@1117|Cyanobacteria,1H4J9@1142|Synechocystis	1142|Synechocystis	T	Transcriptional regulatory protein, C terminal	-	-	-	-	-	-	-	-	-	-	-	-	Response_reg,Trans_reg_C
SGL_RS14390	1148.1001645	8.14e-156	436.0	COG0406@1|root,COG0406@2|Bacteria,1G08X@1117|Cyanobacteria,1H5C1@1142|Synechocystis	1142|Synechocystis	G	Phosphoglycerate mutase family	-	-	-	-	-	-	-	-	-	-	-	-	His_Phos_1
SGL_RS14395	1148.1001646	4.54e-151	424.0	29MCG@1|root,308A9@2|Bacteria,1GHN1@1117|Cyanobacteria,1H6G7@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS14400	1148.1001647	0.0	1276.0	COG0475@1|root,COG0589@1|root,COG0475@2|Bacteria,COG0589@2|Bacteria,1G00D@1117|Cyanobacteria,1H4SF@1142|Synechocystis	1142|Synechocystis	P	Sodium/hydrogen exchanger family	nhaS5	-	-	-	-	-	-	-	-	-	-	-	Na_H_Exchanger,Usp
SGL_RS14405	1148.1001648	1.42e-92	271.0	2B63K@1|root,303JQ@2|Bacteria,1GN86@1117|Cyanobacteria,1H6M3@1142|Synechocystis	1142|Synechocystis	S	Domain of unknown function DUF29	-	-	-	-	-	-	-	-	-	-	-	-	DUF29
SGL_RS14415	1148.1001649	0.0	1658.0	COG0188@1|root,COG0188@2|Bacteria,1G1RQ@1117|Cyanobacteria,1H4VG@1142|Synechocystis	1142|Synechocystis	Z	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	-	-	5.99.1.3	ko:K02469	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseA_C,DNA_topoisoIV
SGL_RS14420	1148.1001650	1.1e-228	628.0	COG1409@1|root,COG1409@2|Bacteria,1G1Z6@1117|Cyanobacteria,1H4WY@1142|Synechocystis	1142|Synechocystis	S	Calcineurin-like phosphoesterase superfamily domain	-	-	-	-	-	-	-	-	-	-	-	-	Metallophos
