old_locus_tag,gene_name,accession,start,end,strand,gene_product,uniprot,operon
sll0521,sll0521,NC_000911.1,3267695,3268291,-,NADH-quinone oxidoreductase subunit J,,Op2249
sll0520,ndhI,NC_000911.1,3268386,3268967,-,NAD(P)H-quinone oxidoreductase subunit I,,Op2249
sll0519,nuoH,NC_000911.1,3269078,3270196,-,NADH-quinone oxidoreductase subunit NuoH,,Op2250
slr1418,slr1418,NC_000911.1,3270451,3271596,+,quinone-dependent dihydroorotate dehydrogenase,,Op2251
slr1419,slr1419,NC_000911.1,3271699,3272178,+,SufE family protein,,Op2252
slr1420,slr1420,NC_000911.1,3272165,3273442,+,FGGY-family carbohydrate kinase,,Op2252
,,NC_000911.1,3273509,3273664,+,type II toxin-antitoxin system HicB family antitoxin,,Op6
slr1421,slr1421,NC_000911.1,3273693,3274016,+,DUF4258 domain-containing protein,,Op2253
,,NC_000911.1,3274013,3274231,+,hypothetical protein,,Op6
sll1344,sll1344,NC_000911.1,3274546,3275238,-,hypothetical protein,,Op2254
sll1343,sll1343,NC_000911.1,3275314,3277923,-,M1 family metallopeptidase,,Op2254
sll1342,sll1342,NC_000911.1,3278122,3279135,-,type I glyceraldehyde-3-phosphate dehydrogenase,A0A6P1VIU2_9SYNC,Op2255
slr1423,murC,NC_000911.1,3279390,3280907,+,UDP-N-acetylmuramate--L-alanine ligase,,Op2256
slr1424,murB,NC_000911.1,3280979,3281932,+,UDP-N-acetylmuramate dehydrogenase,,Op2256
slr1425,slr1425,NC_000911.1,3281954,3282307,+,hypothetical protein,,Op2256
sll1341,bfr,NC_000911.1,3282442,3282912,-,bacterioferritin,A0A6P1VNN2_9SYNC,Op2257
sll1340,sll1340,NC_000911.1,3283104,3283406,-,DUF3146 family protein,,Op2258
slr1426,recR,NC_000911.1,3283467,3284165,+,recombination mediator RecR,,Op2259
sll1338,sll1338,NC_000911.1,3284283,3284810,-,hypothetical protein,,Op2260
sll1336,sll1336,NC_000911.1,3285051,3287168,-,TIGR00300 family protein,,Op2261
slr1428,slr1428,NC_000911.1,3287339,3289264,+,GTPase family protein,,Op2262
sll1334,sll1334,NC_000911.1,3289256,3290785,-,GAF domain-containing protein,,Op2263
slr1429,slr1429,NC_000911.1,3291097,3291966,+,SWIM zinc finger family protein,,Op2264
sll1333,sll1333,NC_000911.1,3292177,3292884,-,hypothetical protein,,Op2265
slr1431,slr1431,NC_000911.1,3293078,3294505,+,DUF3370 domain-containing protein,,Op2266
sll1330,sll1330,NC_000911.1,3294498,3295250,-,response regulator transcription factor,A0A6P1VK23_9SYNC,Op2267
sll1329,sll1329,NC_000911.1,3295580,3296386,-,inositol monophosphatase family protein,,Op2268
slr1451,slr1451,NC_000911.1,3296462,3297247,+,hypothetical protein,,Op2269
sll1367,sll1367,NC_000911.1,3297312,3298097,-,Crp/Fnr family transcriptional regulator,,Op2270
slr1452,slr1452,NC_000911.1,3298326,3299384,+,sulfate ABC transporter substrate-binding protein,,Op2271
ssr2439,ssr2439,NC_000911.1,3299421,3299714,+,NIL domain-containing protein,,Op2271
slr1453,cysT,NC_000911.1,3299716,3300576,+,sulfate ABC transporter permease subunit CysT,,Op2271
slr1454,cysW,NC_000911.1,3300563,3301393,+,sulfate ABC transporter permease subunit CysW,,Op2271
slr1455,slr1455,NC_000911.1,3301555,3302622,+,sulfate/molybdate ABC transporter ATP-binding protein,,Op2272
slr1456,slr1456,NC_000911.1,3302812,3303339,+,type II secretion system protein GspG,,Op2273
slr1457,slr1457,NC_000911.1,3303481,3304680,+,chromate transporter,,Op2274
slr1459,apcB,NC_000911.1,3304872,3305381,+,allophycocyanin subunit beta,,Op2275
sll1366,sll1366,NC_000911.1,3305654,3308773,-,DEAD/DEAH box helicase,,Op2276
slr1461,slr1461,NC_000911.1,3308878,3309474,+,rhomboid family intramembrane serine protease,,Op2277
sll1365,sll1365,NC_000911.1,3309530,3311431,-,PP2C family protein-serine/threonine phosphatase,,Op2278
slr1462,slr1462,NC_000911.1,3311660,3313345,+,GTP-binding protein,,Op2279
slr1463,fusB,NC_000911.1,3313667,3315754,+,elongation factor G variant FusB,,Op2280
slr1464,slr1464,NC_000911.1,3315938,3316735,+,radical SAM protein,,Op2281
ssl2667,ssl2667,NC_000911.1,3317363,3317593,-,NifU family protein,A0A068MUC5_SYNY4,Op2282
ssl2667,ssl2667,NC_000911.1,3317363,3317593,-,NifU family protein,A0A6P1VK49_9SYNC,Op2282
sll1363,ilvC,NC_000911.1,3317701,3318696,-,ketol-acid reductoisomerase,,Op2283
slr0651,slr0651,NC_000911.1,3318829,3319212,+,DUF4346 domain-containing protein,,Op2284
slr0652,hisA,NC_000911.1,3319281,3320051,+,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,,Op2285
sll0631,nadB,NC_000911.1,3320075,3321736,-,L-aspartate oxidase,,Op2286
sll0630,sll0630,NC_000911.1,3321844,3322281,-,hypothetical protein,,Op2287
sll0629,psaK,NC_000911.1,3322377,3322649,-,photosystem I reaction center subunit PsaK,,Op2288
slr0653,rpoD,NC_000911.1,3323275,3324552,+,RNA polymerase sigma factor RpoD,A0A6P1VLS2_9SYNC,Op2289
slr0654,slr0654,NC_000911.1,3330281,3331042,+,hypothetical protein,,Op2290
slr0655,slr0655,NC_000911.1,3331045,3331587,+,DUF427 domain-containing protein,,Op2290
slr0656,slr0656,NC_000911.1,3331625,3332821,+,GNAT family N-acetyltransferase,,Op2290
slr0657,slr0657,NC_000911.1,3333244,3335046,+,aspartate kinase,,Op2291
slr0658,slr0658,NC_000911.1,3335247,3336242,+,toll/interleukin-1 receptor domain-containing protein,,Op2292
slr0659,slr0659,NC_000911.1,3336464,3338548,+,M3 family metallopeptidase,,Op2293
slr0661,proC,NC_000911.1,3338682,3339485,+,pyrroline-5-carboxylate reductase,A0A6P1VN11_9SYNC,Op2294
sll0626,sll0626,NC_000911.1,3339500,3340969,-,glycoside hydrolase 100 family protein,Q7AUG2_9SYNC,Op2295
sll0625,sll0625,NC_000911.1,3341166,3341843,-,class I SAM-dependent methyltransferase,,Op2296
,,NC_000911.1,3341880,3342128,-,hypothetical protein,,Op6
sll0624,sll0624,NC_000911.1,3342125,3342559,-,putative toxin-antitoxin system toxin component%2C PIN family,,Op2296
slr0662,speA,NC_000911.1,3342857,3344944,+,biosynthetic arginine decarboxylase,,Op2297
sll0623,sll0623,NC_000911.1,3345027,3345779,-,hypothetical protein,,Op2298
sll0622,nadA,NC_000911.1,3345861,3346817,-,quinolinate synthase NadA,,Op2299
sll0621,sll0621,NC_000911.1,3346910,3347656,-,cytochrome c biogenesis protein CcdA,,Op2300
ssr1114,ssr1114,NC_000911.1,3347941,3348201,+,hypothetical protein,,Op2301
slr0664,slr0664,NC_000911.1,3348191,3348553,+,type II toxin-antitoxin system RelE/ParE family toxin,,Op2301
slr0665,acnB,NC_000911.1,3348690,3351296,+,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,,Op2302
slr0666,slr0666,NC_000911.1,3351526,3352353,+,hypothetical protein,,Op2303
slr0667,slr0667,NC_000911.1,3352682,3353203,+,hypothetical protein,,Op2304
slr0668,slr0668,NC_000911.1,3353196,3353732,+,hypothetical protein,,Op2304
,,NC_000911.1,3353874,3354032,+,hypothetical protein,,Op6
sll1499,gltB,NC_000911.1,3354192,3358862,-,glutamate synthase large subunit,,Op2305
slr1556,slr1556,NC_000911.1,3359578,3360579,+,2-hydroxyacid dehydrogenase,,Op2306
sll1498,carA,NC_000911.1,3360732,3361886,-,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,,Op2307
slr1557,slr1557,NC_000911.1,3362057,3363166,+,helix-turn-helix domain-containing protein,,Op2308
sll1496,sll1496,NC_000911.1,3363266,3365797,-,mannose-1-phosphate guanyltransferase,,Op2309
sll1495,lhgO,NC_000911.1,3365944,3367137,-,L-2-hydroxyglutarate oxidase,,Op2310
slr1559,slr1559,NC_000911.1,3367417,3368289,+,shikimate dehydrogenase,,Op2311
slr1560,slr1560,NC_000911.1,3368416,3369621,+,ATP phosphoribosyltransferase regulatory subunit,,Op2312
slr1562,grxC,NC_000911.1,3369699,3370028,+,glutaredoxin 3,,Op2313
slr1563,slr1563,NC_000911.1,3370059,3370946,+,fructosamine kinase family protein,,Op2313
slr1564,slr1564,NC_000911.1,3371247,3372023,+,RNA polymerase sigma factor SigF,,Op2314
slr1565,slr1565,NC_000911.1,3372152,3372493,+,iron-sulfur cluster assembly accessory protein,,Op2315
slr1566,slr1566,NC_000911.1,3372502,3373689,+,glycosyltransferase,,Op2315
sll1491,sll1491,NC_000911.1,3373719,3374765,-,WD40 repeat domain-containing protein,,Op2316
slr1567,slr1567,NC_000911.1,3375291,3377588,+,hypothetical protein,,Op2317
slr1568,slr1568,NC_000911.1,3377869,3378279,+,hypothetical protein,,Op2318
sll1489,larB,NC_000911.1,3378247,3379050,-,nickel pincer cofactor biosynthesis protein LarB,,Op2319
sll1488,sll1488,NC_000911.1,3379102,3379767,-,M23 family metallopeptidase,,Op2320
slr1570,slr1570,NC_000911.1,3380130,3380789,+,TIGR00266 family protein,,Op2321
slr1571,slr1571,NC_000911.1,3380809,3381489,+,TIGR00266 family protein,,Op2321
slr1572,slr1572,NC_000911.1,3381543,3382397,+,TIGR00266 family protein,,Op2322
slr1573,pgeF,NC_000911.1,3382575,3383369,+,peptidoglycan editing factor PgeF,,Op2323
ssl2874,ssl2874,NC_000911.1,3383577,3383846,-,DUF370 domain-containing protein,A0A6P1VK43_9SYNC,Op2324
slr1575,slr1575,NC_000911.1,3384151,3385590,+,mechanosensitive ion channel,,Op2325
slr1576,slr1576,NC_000911.1,3385642,3385962,+,hypothetical protein,A0A6P1VMT9_9SYNC,Op2326
slr1577,scpB,NC_000911.1,3386005,3386493,+,SMC-Scp complex subunit ScpB,,Op2327
slr1579,slr1579,NC_000911.1,3386777,3388465,+,DUF3352 domain-containing protein,,Op2328
sll1486,sll1486,NC_000911.1,3388694,3389326,-,DUF2231 domain-containing protein,A0A6P1VLX1_9SYNC,Op2329
sll1485,sll1485,NC_000911.1,3389395,3389883,-,DUF2231 domain-containing protein,A0A6P1VIC8_9SYNC,Op2330
sll1484,sll1484,NC_000911.1,3390028,3391491,-,NAD(P)/FAD-dependent oxidoreductase,,Op2331
sll1483,sll1483,NC_000911.1,3391645,3392187,-,fasciclin domain-containing protein,,Op2332
sll1482,devC,NC_000911.1,3392302,3393453,-,ABC transporter permease DevC,,Op2333
sll1481,sll1481,NC_000911.1,3393495,3394850,-,biotin/lipoyl-binding protein,,Op2334
sll1479,pgl,NC_000911.1,3394954,3395718,-,6-phosphogluconolactonase,,Op2335
sll1477,sll1477,NC_000911.1,3395763,3398261,-,CPBP family glutamic-type intramembrane protease,,Op2336
slr1583,slr1583,NC_000911.1,3398899,3399261,+,DUF1815 family protein,A0A6P1VMV3_9SYNC,Op2337
sll1475,sll1475,NC_000911.1,3399457,3400350,-,ATP-binding protein,,Op2338
sll1474,sll1474,NC_000911.1,3400402,3401418,-,IS4-like element IS4Sa family transposase,Q54AG6_9SYNC,Op2339
sll1473,sll1473,NC_000911.1,3401456,3402901,-,PAS domain S-box protein,,Op2339
sll1472,sll1472,NC_000911.1,3402929,3403372,-,hypothetical protein,,Op2339
sll1471,sll1471,NC_000911.1,3403557,3404306,-,phycobilisome rod-core linker polypeptide,,Op2340
slr1584,slr1584,NC_000911.1,3404545,3405249,+,response regulator transcription factor,A2IBN8_9SYNC,Op2341
slr1584,slr1584,NC_000911.1,3404545,3405249,+,response regulator transcription factor,A0A6P1VID8_9SYNC,Op2341
,,NC_000911.1,3405331,3405453,-,IS5/IS1182 family transposase,,Op71
,,NC_000911.1,3405462,3406311,+,IS630 family transposase,,Op71
sll1470,leuC,NC_000911.1,3406416,3407822,-,3-isopropylmalate dehydratase large subunit,,Op2342
slr1588,slr1588,NC_000911.1,3408051,3409316,+,EAL domain-containing protein,Q55033_9SYNC,Op2343
slr0746,stpA,NC_000911.1,3409355,3410623,+,glucosylglycerol 3-phosphatase,,Op2343
slr0747,slr0747,NC_000911.1,3410761,3411852,+,ABC transporter ATP-binding protein,,Op2344
sll0736,sll0736,NC_000911.1,3411849,3413075,-,family 10 glycosylhydrolase,,Op2345
sll0735,sll0735,NC_000911.1,3413078,3414667,-,glycoside hydrolase family 57 protein,,Op2345
slr0748,slr0748,NC_000911.1,3414833,3415525,+,hypothetical protein,,Op2346
slr0749,bchL,NC_000911.1,3416064,3416924,+,ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein,A0A6P1VN02_9SYNC,Op2347
,,NC_000911.1,3417178,3417402,+,DUF559 domain-containing protein,,Op6
slr0750,bchN,NC_000911.1,3417442,3418851,+,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N,,Op2348
sll0733,sll0733,NC_000911.1,3418971,3419420,-,DUF4278 domain-containing protein,,Op2349
slr0751,slr0751,NC_000911.1,3419545,3420291,+,tetratricopeptide repeat protein,,Op2350
slr0752,eno,NC_000911.1,3420416,3421714,+,phosphopyruvate hydratase,,Op2351
sll0732,sll0732,NC_000911.1,3421907,3422482,-,hypothetical protein,,Op2352
slr0753,slr0753,NC_000911.1,3423032,3424381,+,ArsB/NhaD family transporter,,Op2353
ssl1378,ssl1378,NC_000911.1,3424394,3424648,-,hypothetical protein,,Op2354
sll0729,sll0729,NC_000911.1,3424667,3425524,-,DNA adenine methylase,,Op2354
sll0728,accA,NC_000911.1,3425538,3426518,-,acetyl-CoA carboxylase carboxyl transferase subunit alpha,,Op2354
,,NC_000911.1,3426774,3427001,-,type II toxin-antitoxin system HicA family toxin,,Op6
,,NC_000911.1,3426994,3427203,-,type II toxin-antitoxin system HicB family antitoxin,A0A6P1VLS1_9SYNC,Op6
ssr1256,ssr1256,NC_000911.1,3427756,3428013,+,DUF4327 family protein,,Op2355
slr0755,slr0755,NC_000911.1,3428383,3428940,+,NYN domain-containing protein,A0A6P1VK83_9SYNC,Op2356
ssr1258,ssr1258,NC_000911.1,3428962,3429171,+,type II toxin-antitoxin system HicB family antitoxin,A0A6P1VP06_9SYNC,Op2356
,,NC_000911.1,3429171,3429398,+,type II toxin-antitoxin system HicA family toxin,,Op6
sll0727,sll0727,NC_000911.1,3429461,3431203,-,hypothetical protein,,Op2357
sll0726,pgm,NC_000911.1,3431317,3432972,-,phosphoglucomutase (alpha-D-glucose-1%2C6-bisphosphate-dependent),,Op2358
slr0756,slr0756,NC_000911.1,3433362,3434261,+,circadian clock protein KaiA,,Op2359
slr0757,kaiB,NC_000911.1,3434388,3434705,+,circadian clock protein KaiB,A0A6P1VKE2_9SYNC,Op2360
slr0758,kaiC,NC_000911.1,3434876,3436435,+,circadian clock protein KaiC,,Op2360
sll0723,sll0723,NC_000911.1,3436529,3441844,-,DUF4114 domain-containing protein,,Op2361
sll0722,sll0722,NC_000911.1,3442661,3443287,-,hypothetical protein,,Op2362
sll0721,sll0721,NC_000911.1,3443514,3447371,-,leukotoxin,,Op2363
sll0720,sll0720,NC_000911.1,3447715,3448158,-,toxin-activating lysine-acyltransferase,,Op2364
sll1552,sll1552,NC_000911.1,3448208,3449110,-,GNAT family N-acetyltransferase,,Op2365
,,NC_000911.1,3449321,3449461,-,hypothetical protein,,Op6
slr1651,slr1651,NC_000911.1,3449979,3452129,+,peptidase domain-containing ABC transporter,,Op2366
slr1652,slr1652,NC_000911.1,3452461,3453162,+,phytol kinase,,Op2367
slr1653,slr1653,NC_000911.1,3453211,3454425,+,M20 family metallopeptidase,,Op2368
sll1550,sll1550,NC_000911.1,3454422,3456044,-,iron uptake porin,,Op2369
sll1549,sll1549,NC_000911.1,3456238,3456954,-,histidine phosphatase family protein,,Op2370
slr1655,slr1655,NC_000911.1,3457459,3457932,+,photosystem I reaction center protein subunit XI,A0A6P1VLT9_9SYNC,Op2371
smr0004,smr0004,NC_000911.1,3458023,3458145,+,photosystem I reaction center subunit VIII,A0A6P1VJ78_9SYNC,Op2372
slr1656,murG,NC_000911.1,3458330,3459397,+,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,,Op2373
slr1657,slr1657,NC_000911.1,3459781,3460608,+,diguanylate cyclase,,Op2374
slr1658,slr1658,NC_000911.1,3460651,3461250,+,hypothetical protein,,Op2375
slr1659,slr1659,NC_000911.1,3461313,3461654,+,hypothetical protein,A0A6P1VP25_9SYNC,Op2376
slr1660,slr1660,NC_000911.1,3461844,3462422,+,DUF3172 domain-containing protein,A0A6P1VMZ8_9SYNC,Op2377
,,NC_000911.1,3462493,3462609,-,DUF190 domain-containing protein,,Op6
,,NC_000911.1,3462643,3462840,+,hypothetical protein,,Op6
sll1547,ruvX,NC_000911.1,3462883,3463341,-,Holliday junction resolvase RuvX,,Op2378
sll1546,sll1546,NC_000911.1,3463667,3465289,-,Ppx/GppA phosphatase family protein,,Op2379
slr1661,slr1661,NC_000911.1,3465791,3467743,+,ShlB/FhaC/HecB family hemolysin secretion/activation protein,,Op2380
sll1545,sll1545,NC_000911.1,3467881,3468696,-,glutathione S-transferase family protein,,Op2381
slr1664,slr1664,NC_000911.1,3468873,3470885,+,NAD-binding protein,,Op2382
slr1665,dapF,NC_000911.1,3471003,3471842,+,diaminopimelate epimerase,,Op2383
slr1666,slr1666,NC_000911.1,3472053,3473210,+,DegT/DnrJ/EryC1/StrS family aminotransferase,,Op2384
ssr2781,ssr2781,NC_000911.1,3473234,3473485,+,hypothetical protein,,Op2384
sll1544,sll1544,NC_000911.1,3473513,3474199,-,response regulator transcription factor,,Op2385
,,NC_000911.1,3474807,3474998,+,DUF433 domain-containing protein,,Op6
,,NC_000911.1,3474951,3475184,-,hypothetical protein,,Op6
sll1543,sll1543,NC_000911.1,3475181,3475618,-,PIN domain-containing protein,,Op2386
slr1667,slr1667,NC_000911.1,3476059,3476595,+,hypothetical protein,,Op2387
slr1668,slr1668,NC_000911.1,3476816,3477484,+,fimbria/pilus periplasmic chaperone,,Op2388
ssr2786,ssr2786,NC_000911.1,3477551,3477754,+,hypothetical protein,,Op2389
,,NC_000911.1,3477883,3478116,+,hypothetical protein,,Op6
sll1542,sll1542,NC_000911.1,3478132,3479034,-,DUF2887 domain-containing protein,,Op2390
sll0451,sll0451,NC_000911.1,3479219,3479683,-,GNAT family N-acetyltransferase,,Op2391
sll0450,sll0450,NC_000911.1,3479829,3482141,-,nitric-oxide reductase large subunit,,Op2392
slr0449,slr0449,NC_000911.1,3482568,3483284,+,Crp/Fnr family transcriptional regulator,,Op2393
sll0449,sll0449,NC_000911.1,3483472,3484590,-,hypothetical protein,,Op2394
sll0448,sll0448,NC_000911.1,3484623,3485717,-,hypothetical protein,,Op2394
sll0447,sll0447,NC_000911.1,3485837,3486562,-,hypothetical protein,,Op2394
sll0446,sll0446,NC_000911.1,3486693,3489911,-,hypothetical protein,,Op2395
sll0445,sll0445,NC_000911.1,3490014,3491501,-,hypothetical protein,,Op2396
sll0444,sll0444,NC_000911.1,3491512,3492015,-,hypothetical protein,,Op2396
sll0443,sll0443,NC_000911.1,3492073,3493482,-,lipoprotein,,Op2397
slr0451,slr0451,NC_000911.1,3493885,3496905,+,RNA helicase,,Op2398
sll0442,sll0442,NC_000911.1,3497016,3497351,-,hypothetical protein,,Op2399
sll0441,sll0441,NC_000911.1,3497389,3498759,-,GIY-YIG nuclease family protein,,Op2399
slr0452,ilvD,NC_000911.1,3498903,3500588,+,dihydroxy-acid dehydratase,,Op2400
slr0453,slr0453,NC_000911.1,3500761,3503178,+,phosphoketolase family protein,,Op2401
ssl0832,ssl0832,NC_000911.1,3503304,3503561,-,hypothetical protein,A0A6P1VQ65_9SYNC,Op2402
sll0436,sll0436,NC_000911.1,3503637,3504092,-,SRPBCC family protein,,Op2403
slr0454,slr0454,NC_000911.1,3504297,3506969,+,efflux RND transporter permease subunit,,Op2404
slr0455,slr0455,NC_000911.1,3507027,3507452,+,phasin family protein,,Op2405
slr0456,slr0456,NC_000911.1,3507523,3507999,+,hypothetical protein,,Op2406
slr0457,truB,NC_000911.1,3508111,3509001,+,tRNA pseudouridine(55) synthase TruB,,Op2407
slr0458,slr0458,NC_000911.1,3509112,3509747,+,HAD family hydrolase,,Op2408
slr0459,slr0459,NC_000911.1,3509946,3511580,+,S8 family serine peptidase,,Op2409
,,NC_000911.1,3511818,3512288,+,IS701 family transposase,,Op71
,,NC_000911.1,3512315,3513163,-,IS630-like element ISTcSa family transposase,,Op6
,,NC_000911.1,3513235,3513864,+,IS701 family transposase,,Op71
sll0430,htpG,NC_000911.1,3514232,3516208,-,molecular chaperone HtpG,,Op2410
slr1176,slr1176,NC_000911.1,3516569,3517858,+,glucose-1-phosphate adenylyltransferase,,Op2411
slr1177,slr1177,NC_000911.1,3517887,3518735,+,TIGR03943 family protein,,Op2411
slr1178,slr1178,NC_000911.1,3518857,3519312,+,SH3 domain-containing protein,,Op2412
slr1179,slr1179,NC_000911.1,3519431,3520561,+,anhydro-N-acetylmuramic acid kinase,,Op2413
sll1110,prfA,NC_000911.1,3520597,3521694,-,peptide chain release factor 1,A0A6P1VP72_9SYNC,Op2414
sll1109,sll1109,NC_000911.1,3521783,3522367,-,DUF3727 domain-containing protein,,Op2415
sll1108,surE,NC_000911.1,3522433,3523260,-,5'/3'-nucleotidase SurE,,Op2416
,,NC_000911.1,3523312,3523458,+,hypothetical protein,,Op6
slr1181,psbA,NC_000911.1,3523717,3524799,+,photosystem II q(b) protein,A0A6P1VNG0_9SYNC,Op2417
slr1182,slr1182,NC_000911.1,3524938,3525450,+,isoprenylcysteine carboxylmethyltransferase family protein,A0A6P1VM75_9SYNC,Op2418
slr1183,slr1183,NC_000911.1,3525482,3526066,+,class I SAM-dependent methyltransferase,A0A6P1VIM8_9SYNC,Op2418
slr1184,slr1184,NC_000911.1,3526097,3526591,+,rhodanese-like domain-containing protein,,Op2418
,,NC_000911.1,3526780,3526974,+,DUF2892 domain-containing protein,A0A6P1VJD3_9SYNC,Op6
slr1185,slr1185,NC_000911.1,3527045,3527581,+,cytochrome b6-f complex iron-sulfur subunit,,Op2419
slr1186,slr1186,NC_000911.1,3527642,3528088,+,DUF2214 family protein,A0A6P1VKK1_9SYNC,Op2420
slr1187,slr1187,NC_000911.1,3528265,3529305,+,hypothetical protein,,Op2421
slr1188,slr1188,NC_000911.1,3529323,3529994,+,PspA/IM30 family protein,,Op2421
slr1189,slr1189,NC_000911.1,3530030,3530971,+,homocysteine S-methyltransferase family protein,,Op2421
sll1107,sll1107,NC_000911.1,3530979,3531755,-,ABC transporter permease,A0A6P1VL05_9SYNC,Op2422
sll1106,sll1106,NC_000911.1,3531885,3532400,-,DUF1269 domain-containing protein,,Op2423
slr1192,slr1192,NC_000911.1,3532600,3533610,+,NAD(P)-dependent alcohol dehydrogenase,,Op2424
slr0585,argG,NC_000911.1,3533844,3535046,+,argininosuccinate synthase,,Op2425
slr0586,slr0586,NC_000911.1,3535174,3535938,+,HAD family hydrolase,,Op2426
slr0587,slr0587,NC_000911.1,3536090,3536422,+,hypothetical protein,,Op2427
sll0578,purK,NC_000911.1,3536464,3537630,-,5-(carboxyamino)imidazole ribonucleotide synthase,,Op2428
sll0577,sll0577,NC_000911.1,3537706,3538215,-,pentapeptide repeat-containing protein,,Op2429
slr0588,slr0588,NC_000911.1,3538447,3538803,+,hypothetical protein,,Op2430
slr0589,slr0589,NC_000911.1,3538842,3539387,+,cofactor assembly of complex C subunit B,,Op2430
slr0590,slr0590,NC_000911.1,3539496,3540212,+,DUF2993 domain-containing protein,,Op2431
sll0576,sll0576,NC_000911.1,3540326,3541258,-,NAD-dependent epimerase/dehydratase,,Op2432
sll0575,sll0575,NC_000911.1,3541344,3542108,-,ABC transporter ATP-binding protein,,Op2433
sll0574,sll0574,NC_000911.1,3542121,3542936,-,ABC transporter permease,,Op2433
slr0591,slr0591,NC_000911.1,3543143,3544210,+,ribonucleotide-diphosphate reductase subunit beta,,Op2434
sll0573,arcC,NC_000911.1,3544207,3545133,-,carbamate kinase,,Op2435
sll0572,sll0572,NC_000911.1,3545120,3546493,-,cyclic 2%2C3-diphosphoglycerate synthase,,Op2435
slr0592,slr0592,NC_000911.1,3546792,3548315,+,family 10 glycosylhydrolase,,Op2436
slr0593,slr0593,NC_000911.1,3548465,3549706,+,cyclic nucleotide-binding domain-containing protein,,Op2437
sll0569,recA,NC_000911.1,3549956,3551020,-,recombinase RecA,,Op2438
slr0594,slr0594,NC_000911.1,3551159,3552382,+,ABC transporter permease,,Op2439
sll0567,sll0567,NC_000911.1,3552457,3552954,-,transcriptional repressor,A0A6P1VN73_9SYNC,Op2440
slr0596,slr0596,NC_000911.1,3553097,3553918,+,creatininase family protein,,Op2441
slr0597,purH,NC_000911.1,3553977,3555512,+,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,,Op2442
sll0565,sll0565,NC_000911.1,3555674,3556075,-,hypothetical protein,,Op2443
sll0564,sll0564,NC_000911.1,3556111,3557094,-,class I SAM-dependent methyltransferase,,Op2443
slr0598,slr0598,NC_000911.1,3557139,3557447,+,DUF3067 family protein,,Op2444
slr0599,slr0599,NC_000911.1,3557481,3559088,+,serine/threonine-protein kinase,,Op2444
slr0600,slr0600,NC_000911.1,3559199,3560179,+,NAD(P)/FAD-dependent oxidoreductase,,Op2445
slr0601,slr0601,NC_000911.1,3560323,3560709,+,hypothetical protein,,Op2446
slr0602,slr0602,NC_000911.1,3560755,3561144,+,hypothetical protein,,Op2447
sll0563,sll0563,NC_000911.1,3561162,3561665,-,hypothetical protein,,Op2448
slr0603,slr0603,NC_000911.1,3561946,3564639,+,trans-splicing intein-formed DNA polymerase III subunit alpha N-terminal partner DnaE-N,,Op2449
,,NC_000911.1,3564645,3564812,+,hypothetical protein,,Op6
slr0604,lepA,NC_000911.1,3564838,3566649,+,translation elongation factor 4,,Op2450
slr0605,slr0605,NC_000911.1,3566761,3567720,+,glutathione S-transferase family protein,,Op2451
slr0606,slr0606,NC_000911.1,3568022,3568975,+,glycosyltransferase family 9 protein,A0A6P1VIR2_9SYNC,Op2452
slr0607,slr0607,NC_000911.1,3569134,3569523,+,cyclic nucleotide-binding domain-containing protein,,Op2453
slr0608,hisIE,NC_000911.1,3569672,3570319,+,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,A0A6P1VM37_9SYNC,Op2454
slr0609,slr0609,NC_000911.1,3570424,3571575,+,GTP-binding protein,,Op2455
slr0610,slr0610,NC_000911.1,3571711,3572403,+,ABC transporter permease,,Op2456
slr0611,sds,NC_000911.1,3573271,3574242,+,solanesyl diphosphate synthase,A0A6P1VKP0_9SYNC,Op2457
sll7002,sll7002,NC_005230.1,706,1287,-,IS701 family transposase,,Op2458
sll7003,sll7003,NC_005230.1,1399,1827,-,type II toxin-antitoxin system VapC family toxin,,Op2459
ssl7004,ssl7004,NC_005230.1,1799,2032,-,DNA-binding protein,,Op2460
slr7005,slr7005,NC_005230.1,2399,2965,+,site-specific integrase,,Op2461
sll7006,sll7006,NC_005230.1,3041,3364,-,YlcI/YnfO family protein,,Op2462
,,NC_005230.1,3367,3819,-,putative toxin-antitoxin system toxin component%2C PIN family,,Op6
slr7008,slr7008,NC_005230.1,4241,5257,+,IS4-like element IS4Sa family transposase,,Op2463
sll7009,sll7009,NC_005230.1,5340,6284,-,WYL domain-containing protein,,Op2464
slr7010,cas3,NC_005230.1,6373,8517,+,type I-D CRISPR-associated helicase Cas3',,Op2465
slr7011,cas10d,NC_005230.1,8531,11458,+,type I-D CRISPR-associated protein Cas10d/Csc3,,Op2465
slr7012,cas7d,NC_005230.1,11524,12513,+,type I-D CRISPR-associated protein Cas7/Csc2,,Op2466
